n,W,family,instance_idx,solver,value,optimal_value,opt_gap_pct,weight,capacity,feasible,time_s,items_selected
50,100,correlated,4,dp,150,150,0.0,99,100,True,0.001639,8
50,100,correlated,4,greedy,150,150,0.0,99,100,True,4.1e-05,8
50,100,correlated,4,ml_rf,133,150,11.33,91,100,True,0.134694,9
50,100,correlated,4,ml_mlp,40,150,73.33,18,100,True,0.001348,4
50,100,correlated,5,dp,172,172,0.0,100,100,True,0.001754,12
50,100,correlated,5,greedy,172,172,0.0,100,100,True,4.4e-05,12
50,100,correlated,5,ml_rf,153,172,11.05,83,100,True,0.122447,11
50,100,correlated,5,ml_mlp,102,172,40.7,47,100,True,0.001245,9
50,100,correlated,6,dp,163,163,0.0,100,100,True,0.001853,8
50,100,correlated,6,greedy,156,163,4.29,97,100,True,4e-05,10
50,100,correlated,6,ml_rf,140,163,14.11,85,100,True,0.143492,7
50,100,correlated,6,ml_mlp,72,163,55.83,36,100,True,0.001328,5
50,100,correlated,7,dp,147,147,0.0,100,100,True,0.002323,9
50,100,correlated,7,greedy,147,147,0.0,100,100,True,0.000302,9
50,100,correlated,7,ml_rf,125,147,14.97,85,100,True,0.132175,6
50,100,correlated,7,ml_mlp,55,147,62.59,33,100,True,0.001187,5
50,100,correlated,8,dp,155,155,0.0,100,100,True,0.001661,9
50,100,correlated,8,greedy,149,155,3.87,99,100,True,4.2e-05,12
50,100,correlated,8,ml_rf,99,155,36.13,55,100,True,0.128408,9
50,100,correlated,8,ml_mlp,78,155,49.68,40,100,True,0.001985,8
50,100,correlated,9,dp,142,142,0.0,100,100,True,0.001995,6
50,100,correlated,9,greedy,142,142,0.0,100,100,True,5.9e-05,8
50,100,correlated,9,ml_rf,132,142,7.04,90,100,True,0.143273,7
50,100,correlated,9,ml_mlp,13,142,90.85,6,100,True,0.002597,2
50,100,correlated,10,dp,145,145,0.0,100,100,True,0.002278,6
50,100,correlated,10,greedy,142,145,2.07,98,100,True,6.1e-05,10
