problem,method,family,instance_id,n,objective_value,optimality_gap,runtime_seconds
scheduling,DP,adversarial,41,9,96.0,0.0,1.0100004146806896e-05
scheduling,Greedy_EF,adversarial,41,9,96.0,0.0,8.59999272506684e-06
scheduling,Greedy_HW,adversarial,41,9,80.0,0.16666666666666666,4.2000028770416975e-06
scheduling,Greedy_BR,adversarial,41,9,96.0,0.0,8.399991202168167e-06
scheduling,ML_RF,adversarial,41,9,96,0.0,0.02687240000523161
scheduling,ML_MLP,adversarial,41,9,96,0.0,0.0007408000092254952
scheduling,DP,adversarial,42,13,144.0,0.0,1.340000017080456e-05
scheduling,Greedy_EF,adversarial,42,13,144.0,0.0,1.1199997970834374e-05
scheduling,Greedy_HW,adversarial,42,13,120.0,0.16666666666666666,4.999994416721165e-06
scheduling,Greedy_BR,adversarial,42,13,144.0,0.0,1.1800002539530396e-05
scheduling,ML_RF,adversarial,42,13,144,0.0,0.0265001000079792
scheduling,ML_MLP,adversarial,42,13,144,0.0,0.0006572999991476536
scheduling,DP,sparse,1000,20,806.0,0.0,2.200000744778663e-05
scheduling,Greedy_EF,sparse,1000,20,667.0,0.17245657568238212,1.5900004655122757e-05
scheduling,Greedy_HW,sparse,1000,20,806.0,0.0,1.2799995602108538e-05
scheduling,Greedy_BR,sparse,1000,20,791.0,0.018610421836228287,1.7800004570744932e-05
scheduling,ML_RF,sparse,1000,20,806,0.0,0.02665190001425799
scheduling,ML_MLP,sparse,1000,20,806,0.0,0.0008519999973941594
scheduling,DP,sparse,1001,20,705.0,0.0,2.1799991372972727e-05
scheduling,Greedy_EF,sparse,1001,20,607.0,0.13900709219858157,1.5300000086426735e-05
scheduling,Greedy_HW,sparse,1001,20,668.0,0.0524822695035461,1.1199997970834374e-05
scheduling,Greedy_BR,sparse,1001,20,697.0,0.011347517730496455,1.7400001524947584e-05
scheduling,ML_RF,sparse,1001,20,668,0.0524822695035461,0.025171999994199723
scheduling,ML_MLP,sparse,1001,20,668,0.0524822695035461,0.0007716000109212473
scheduling,DP,sparse,1002,20,616.0,0.0,2.1400002879090607e-05
scheduling,Greedy_EF,sparse,1002,20,491.0,0.20292207792207792,1.5400000847876072e-05
scheduling,Greedy_HW,sparse,1002,20,594.0,0.03571428571428571,1.1900003300979733e-05
scheduling,Greedy_BR,sparse,1002,20,598.0,0.02922077922077922,1.7600003047846258e-05
scheduling,ML_RF,sparse,1002,20,594,0.03571428571428571,0.0258109999995213
scheduling,ML_MLP,sparse,1002,20,594,0.03571428571428571,0.0008999000128824264
scheduling,DP,sparse,1003,20,742.0,0.0,6.10999995842576e-05
scheduling,Greedy_EF,sparse,1003,20,630.0,0.1509433962264151,2.099999983329326e-05
scheduling,Greedy_HW,sparse,1003,20,742.0,0.0,1.239999255631119e-05
